video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country,classementCountry
WYvFYMe0hl0,[世界はほしいモノにあふれてる] 2年半の感謝をこめて | NHK,2020-09-02T09:00:16Z,UCip8ve30-AoX2y2OtAAmqFA,NHK,24,20.09.09,世界はほしいモノにあふれてる|せかほし|三浦春馬|ＪＵＪＵ|フランス|シャルキュトリ|リヨン|JUJU|サラミ,657915,12577,160,0,https://i.ytimg.com/vi/WYvFYMe0hl0/default.jpg,False,JP,155
YOf_RawvARA,ほどこされたら　ほどこし返す　恩返しです,2020-09-02T09:00:13Z,UC25Ah0_XF2lOUwWV9VSfl2g,藤森慎吾のYouTubeチャンネル,24,20.09.09,お笑い|オリエンタルラジオ|藤森慎吾|とびちゃん|atmos,597008,9197,174,897,https://i.ytimg.com/vi/YOf_RawvARA/default.jpg,False,JP,156
Q2JK05frDD4,【秋冬新作】500万円分のブランド服を購入して激オシャレコーデに仕上げてみた！,2020-09-02T09:58:40Z,UCD0Kba00rO0XaRKJ-qyrszw,エンリケ空間チャンネル,22,20.09.09,エンリケ|小川えり|キャバクラ|キャバ嬢|名古屋No1キャバ嬢|エンリケ シャンパン一気|エンリケ 直瓶|名古屋 アールズカフェ|愛沢えみり|桜井野の花|進撃のノア|門りょう|ラファエル|エンリケ空間|シャンパンバー,306301,5347,867,687,https://i.ytimg.com/vi/Q2JK05frDD4/default.jpg,False,JP,157
UmJ_gzlziRM,私は大人の素敵なお姉さんになりたい！！,2020-09-02T10:58:39Z,UCZCzstgLGQdK8GSztJHh0-w,タナカガ,22,20.09.09,パパラピーズ|タナカガ|ガガ,383789,13152,362,1124,https://i.ytimg.com/vi/UmJ_gzlziRM/default.jpg,False,JP,158
dnAw9AoA_cw,KING／莉犬【歌ってみた】,2020-09-02T11:30:30Z,UCpcGAVuBSJEFs48MBxhf9eg,莉犬くん,10,20.09.09,莉犬|莉犬くん|りいぬ|歌ってみた|すとぷり|KING,761298,65763,430,20571,https://i.ytimg.com/vi/dnAw9AoA_cw/default.jpg,False,JP,159
CEW85bOdQkY,【ハイライト】ヴィッセル神戸×川崎フロンターレ「2020JリーグYBCルヴァンカップ 準々決勝」,2020-09-02T13:24:12Z,UCJe-YHWE_u6LL3DHyv8kXeQ,スカパー!サッカー,17,20.09.09,スカパー|ルヴァン|ハイライト|サッカー|国内サッカー|ヴィッセル神戸|川崎フロンターレ|Vissel Kobe (Football Team)|Kawasaki Frontale (Football Team),178066,1089,96,663,https://i.ytimg.com/vi/CEW85bOdQkY/default.jpg,False,JP,160
jT1ZJoHVLLM,坂田に寝起きドッキリしたら、まさかの・・・,2020-09-02T09:00:10Z,UCA_t0trBs1Fcb6U4HeUGT4g,浦島坂田船公式チャンネル,24,20.09.09,うらたぬき|志麻|あほの坂田|となりの坂田|センラ|うらしまさかたせん|歌い手|歌ってみた|もじおこし|文字起こし|げつらじ|urasimasakatasen|usss|寝起き|ドッキリ,311653,30886,110,2518,https://i.ytimg.com/vi/jT1ZJoHVLLM/default.jpg,False,JP,161
BDvaFf5CrhE,絶対に家に帰りたくない弟VS絶対に家に返したい兄,2020-09-02T11:15:01Z,UCr-ZlXtMoIceklFJnfkAEMw,リタくん,24,20.09.09,リタくん|リタ|リタくん|ストーカー|砂糖くん|ストーカー|YouTuber|歌い手|さとリタ,316797,7816,738,576,https://i.ytimg.com/vi/BDvaFf5CrhE/default.jpg,False,JP,162
yAu_dWQBOxw,【料理ドラマ】ゲームにはまって生活リズムが乱れても。作り置きに救われる深夜のトマトチーズうどん『ひとりごとエプロン』第5話　キッチン/レシピ/音楽/YeYe,2020-09-02T11:45:12Z,UCb-cMiVs0yGmi2IPmowLC5Q,北欧、暮らしの道具店,1,20.09.09,UCb-cMiVs0yGmi2IPmowLC5Q|インテリア|暮らし|家事|女性|レシピ|松本妃代|料理|ドラマ|音楽|一人暮らし|vlog|ルーティン|YeYe|ゲーム,240942,6153,90,0,https://i.ytimg.com/vi/yAu_dWQBOxw/default.jpg,False,JP,163
23Dv9GHenzA,【現地レポ③】洪水が引いた長江の現状をお伝えします,2020-09-02T12:25:55Z,UC2VAeNLtZm8MBdcgVOFSTxg,OrientalDS オリエンタルDS,22,20.09.09,#orientalds|#中国|#重慶|#youtuber|#オリエンタルds,222757,3440,182,193,https://i.ytimg.com/vi/23Dv9GHenzA/default.jpg,False,JP,164
