video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country,classementCountry
9WDhHYE-9wI,Kadiat Omr EP 28 قضية العمر,2020-09-03T09:45:53Z,UCuSyI3P8JZOD1nPa_pqjutg,Al Aoula TV,24,20.09.09,al oula|al aoula tv|al oula 2018|al oula tnt|al oula en ligne|al aoula tv live|al oula tv akhbar aujourdhui 2018|al aoula|al aoula tv direct|al aoula 2018|al aoula maroc en direct|al aoula tnt live|الاولى|الاولى المغربية|الاولى hd|الاولى الارضية|برامج الاولى|al oula tv|aloula|UCuSy,575841,6707,474,0,https://i.ytimg.com/vi/9WDhHYE-9wI/default.jpg,False,MA,79
XWY4rSBvK_Q,حفله وعزومه اهلى(التاريخيه) 🎉,2020-09-07T09:00:06Z,UCLACApi-a7dewNn6EysoE4w,يوميات حمدى ووفاء,24,20.09.09,حفله وعزومه|حفله وعزومه اهلى|عزومه اهلى|التاريخيه|حفله|عزومه|السبوع|حمدى ووفاء|يوميات حمدى ووفاء|عائلة حمدى ووفاء,1452587,164896,3797,16825,https://i.ytimg.com/vi/XWY4rSBvK_Q/default.jpg,False,MA,80
PUMQwiQha40,كاران ينقذ بريتا من الموت - مسلسل حياة قلبي - الحلقة 120 | وياك,2020-09-07T19:00:09Z,UCiUVsRQpKfulyQI3J815P_w,Weyyak. com,24,20.09.09,اكشن|دراما|هندية|مسلسل هندي|مسلسلات هندية|تصوير|تطبيق|شاهد|وياك|تطبيق وياك|اشترك|رمضان2020|بوليوود|هوليوود|نجوم الفن|الفن|مجرم|اجرام|مسلسل|مجانا|اغاني|رمضان|رمضان 2020|اليسا|اغاني اليسا,507794,13020,651,745,https://i.ytimg.com/vi/PUMQwiQha40/default.jpg,False,MA,81
slZwIAj61Go,التعليم عن بعد 😂😂😂😂,2020-09-04T14:46:04Z,UCSc6AlGFA3kGj2qT4PxVc9Q,ZIZO Comedy,24,20.09.09,[none],47344,4002,155,123,https://i.ytimg.com/vi/slZwIAj61Go/default.jpg,False,MA,82
f18slfoyxJY,تحدي أكبر لعبة غميضة مع نارين و أخواتها | الجائزة 10000$ دولار,2020-09-04T13:12:06Z,UC1sUFpfoJzhf76xI2nz_qNg,ARABIC MO VLOGS,22,20.09.09,MO VLOGS|narins beauty|shero show|hide and seek|challenge,2629584,239440,4763,10395,https://i.ytimg.com/vi/f18slfoyxJY/default.jpg,False,MA,83
6LPImGUl1sA,جنس الجنين في هذا الظرف💖💙 (و ممنوع نفتحه!! ),2020-09-05T15:08:36Z,UCqJNTGwKmgMCwfYDbnz514Q,anasala family I أنس و أصالة,24,20.09.09,اصالة|اصاله|انس مروة|اول مرة|بيبي|تسبح|اصالة و انس|انس و اصالة|سيارة|انس واصالة|اصالة مالح|انس|انس مروة و اصالة|اصالة و انس مروة|anasmarwah|anas marwah|ميلا مروة|anasala|عائلة انس و اصالة|anasala family|أنس مروة|اصالة وانس مروة|انس و اصاله|مع اصالة و انس مروة|عائلة انصالة|حامل|اصالة حامل|الجنين,4636048,436837,9265,79696,https://i.ytimg.com/vi/6LPImGUl1sA/default.jpg,False,MA,84
X4W17pRVWF4,رحلة نحو المجهول: بدأنا الطريق إلى أول وجهة و لقينا مشكل فمكان النوم,2020-09-02T14:35:16Z,UCH_XMDSC8K696kE6I0x5D8Q,Fayssal Vlog,22,20.09.09,fayssal vlog|faissalvlog|faicalvlog|faycalvlog|vlog|تحدي fayssal|Vlogs|رحلة نحوة المجهول|بدأنا الطريق|أول وجهة|لقينا مشكل|مكان النوم|رحلة|نحو|المجهول|بدأنا|الطريق|أول|وجهة|مشكل|مكان|النوم,1081996,98624,2338,6702,https://i.ytimg.com/vi/X4W17pRVWF4/default.jpg,False,MA,85
blm5go18d7M,iPhone 12 pro max clone | الصين نزلت الموبايل قبل ابل,2020-09-07T16:00:08Z,UC59h5y6apCXD4dQB6Kftpww,حمزاوي Hamzawy,28,20.09.09,iPhone 12 pro max clone|الايفون ١٢ برو ماكس التقليد|الايفون ١٢ الصيني|12 pro max|iPhone 12 pro max|حمزاوي|Hamzawy,84310,14490,392,1634,https://i.ytimg.com/vi/blm5go18d7M/default.jpg,False,MA,86
eg3wHwXDIEc,١٠ أسرار في بحث جوجل، أنت لا تعرفهم!,2020-09-05T18:50:43Z,UCEHvaZ336u7TIsUQ2c6SAeQ,دروس أونلاين,27,20.09.09,بحث|جوجل|بحث جوجل|Google|Google search|أسرار بحث جوجل|حيل و أسرار بحث جوجل|دروس أونلاين|دروس اون لاين|\أحمد أبوزيد,236567,26041,429,1310,https://i.ytimg.com/vi/eg3wHwXDIEc/default.jpg,False,MA,87
kFPVFuNRbJ0,Big Hulk VS Siren Head,2020-09-04T12:00:42Z,UCUR8Hid3gm05upmtk4LrgpQ,FatTV,23,20.09.09,funny|comedy|hulk|spider-man|batman|marvel|siren head|america|usa|software,6521549,20873,12597,0,https://i.ytimg.com/vi/kFPVFuNRbJ0/default.jpg,False,MA,88
jF4Q5cFJ-iQ,حب الشباب دمر نفسيتي أيام المدرسة 😥 ولكن قدرت اتخلص منه بأغرب الطرق 💪| مع جويل,2020-09-05T17:00:15Z,UC9fljGn9t_Fp5MuSsP9046g,Yasmina,26,20.09.09,حب الشباب|علاج حب الشباب|THE OIL CLEANSING METHOD|العناية بالبشرة|حب الشباب في الوجه|طريقة علاج حب الشباب للبشرة الدهنية|علاج حب الشباب للبشرة الدهنية|وصفة لعلاج حب الشباب|oil cleansing|oil cleansing method|جويل الحاج|ياسمينا|ياسمينة|yasmina|joelle hajj|joelle hajj العناية بالبشرة,251320,18542,354,1268,https://i.ytimg.com/vi/jF4Q5cFJ-iQ/default.jpg,False,MA,89
3oy8zBB8_BM,هربنا على رجالنا 😂 شوفو فين مشينا وشنو درنا,2020-09-03T11:32:57Z,UCKBEm5EN_71ZTvYkxKID-bQ,لالة حادة | Lala hada,22,20.09.09,[none],335962,12946,980,2034,https://i.ytimg.com/vi/3oy8zBB8_BM/default.jpg,False,MA,90
nuhwoXYUP20,آخر النهار| تامرأمين يفقد أعصابه بسبب إشارة رمضان صبحي: إنت حِسبتك خسرانة!,2020-09-07T20:00:05Z,UCtpL6HyBK-z16GbJguHf3JQ,Al Nahar TV,24,20.09.09,[none],298192,8378,964,1574,https://i.ytimg.com/vi/nuhwoXYUP20/default.jpg,False,MA,91
oD155zWANQg,"Get This Random Person 1,000,000 Subscribers",2020-09-05T20:00:17Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,24,20.09.09,[none],17910219,1142495,14673,98245,https://i.ytimg.com/vi/oD155zWANQg/default.jpg,False,MA,92
3XaIF_Tq2_E,Marwa Loud - Mytho (Clip officiel),2020-09-03T14:00:03Z,UC2kfDKWZai6IrtmSq60YawQ,Marwa Loud,10,20.09.09,Marwa|Marwa Loud|Mytho|Marwa Mytho|Marwa Loud Mytho|allez les gros|oh la folle|bad boy|ça va aller|Marwa Loud et Naza|my life|Marwa Loud Imen es|Marwa Loud Mister you|Marwa My life|Fallait pas|Marwa oh la folle|Marwa bad boy|Marwa allez les gros|Marwa fallait pas|Marwa ça va aller,1546068,55401,4022,2742,https://i.ytimg.com/vi/3XaIF_Tq2_E/default.jpg,False,MA,93
qT2rjgRhZOU,اشتريت اغرب احذية الكعب العالي من موقع wish الصيني | طحت على وجهي😭,2020-09-04T14:47:07Z,UCTLYhp6mZAJQaVI4mkfuVuw,Asoo اسو,24,20.09.09,asoo|اسو|يسر|مشتريات|موقع|wish|احذية,1300514,134821,3599,11779,https://i.ytimg.com/vi/qT2rjgRhZOU/default.jpg,False,MA,94
6VNJWXFXNT0,إقضوا معي أمسية هادئة  تنسينا تعب  يوم طويل /وصفة البراوني السهلة واللذيذة بالخطوات Fudgy Brownie,2020-09-03T16:44:41Z,UC2_fLRT3ZIx38y1H70J5jwg,Zikalooks,22,20.09.09,أمسية هادئة|Brownie|Brownies,280531,12114,591,2070,https://i.ytimg.com/vi/6VNJWXFXNT0/default.jpg,False,MA,95
vxJlfrCyYtE,حفيدة صدام، كتاب كيروي تفاصيل خفية عن الرئيس صد. ام,2020-09-03T21:42:27Z,UC1SZ470A7j9xCd7je4zgUpg,Dar lkitab & Cinema دار الكتاب و السينما,22,20.09.09,iMovie,123512,7441,199,650,https://i.ytimg.com/vi/vxJlfrCyYtE/default.jpg,False,MA,96
IUbJQE53Qok,ولد حديدان جاهم فاص من جنـ ـازة عبد الجبار الوزير.. كون كان مهرجان كون جاو كيجريو بلا ميعرضو عليهم,2020-09-03T15:02:26Z,UCBblssVX8YzBSooIsTF_2Bw,achewa9e3Tv - آش واقع تيفي,25,20.09.09,achewa9e3tv|آش واقع تيفي|ثقافة|فن|سياسة|رياضة|ربورتاجات|حوارات|برامج|إجتماع|وباء|المغرب|الدار البيضاء|جهة الدار البيضاء سطات|تطورات|تتضافر الجهود الدولية|انتشار وباء|الرئيس الأمريكي ترامب|الصين|كوفيد-19|COVID-19|أنحاء العالم|الحيوانات|مجموعة من الأعراض|مضادات الحيوية|المطار|إصابتهم|مستشفى|طاقمنا الطبي|وقف انتشار|فحص جميع المرضى|مستشفيات الأخرى|معهد باستور|عينات|تحاليل|مراحل|خليك فدارك|خليك في دارك|خليك في المنزل|Stay at home|Restez à la maison,539128,7651,258,489,https://i.ytimg.com/vi/IUbJQE53Qok/default.jpg,False,MA,97
_ysnw0bzDRM,👋 COUTINHO IS BACK!! New season prep continues!! 🏋️,2020-09-04T12:11:31Z,UC14UlmYlSNiQCBe9Eookf_A,FC Barcelona,17,20.09.09,FC Barcelona|برشلونة،|Fútbol|FUTBOL|soccer|FUTEBOL|Sepakbola|サッカー|كرة القدم|football|FCB|Barça|Sport|Club|Barcelona|CAMP NOU|ter stegen|semedo|pique|rakitic|busquets|suarez|luis suarez|messi|goat|leo messi|messi skills|dembele|neto|lenglet|griezmann|antoine griezmann|yt:cc=on|coutinho|brazil players|bayern munich|liverpool|barça signings|transfers|Philippe|barça record signing|mercado|new striker|new midfielder|soccer training,1624614,81621,1556,6211,https://i.ytimg.com/vi/_ysnw0bzDRM/default.jpg,False,MA,98
Dw3PlTbqC2A,"I Won 1,000,000 Subscribers From A MrBeast Challenge",2020-09-05T20:00:54Z,UCePxRBreVaMy_ontn4Vz2Yg,Zealous,24,20.09.09,Matthew Doyon|Zealous|MoreJStu Matthew|MoreJStu Matt|Zelus|Zelous|Matt Doyon|mrbeast|Mrbeast challenge|Mr Beast|Mr Beast Challenge|challenge|one million subs|one million subscribers|Subscribers,5903394,330831,10344,52137,https://i.ytimg.com/vi/Dw3PlTbqC2A/default.jpg,False,MA,99
