video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country,classementCountry
-nnh5z8gEOU,Es hat dann doch noch geklappt.. (AIR DIOR),2020-09-05T10:30:01Z,UCcPQ61cfBu9Tj0vyQmgNYbA,justin,22,20.09.09,jstn|jstin|justin|fashion|style|street|top|best|outfit|outfits|german|deutsch|youtube|youtuber|dior|air|jordan 1|kim jones|teuer|expensive|luxury,249973,28771,486,923,https://i.ytimg.com/vi/-nnh5z8gEOU/default.jpg,False,DE,97
kvC4iKq5jHU,I Taught @Dixie DAmelio and @Addison Rae How To Box | Ryan Garcia Vlogs,2020-09-05T17:30:01Z,UCaVIKOexO3N_6Sdl-Zug0Kg,Ryan Garcia,17,20.09.09,Ryan Garcia|Boxing|Ryan Garcia boxing|DAZN|golden boy productions|ryan garcia highlights|fights|ryan garcia fight|boxing highlights|boxing vlog|ryan garcia vlog|boxing recap|ryan garcia knockout|boxing knokout|garcia|ryan garcia training|knockout|training|fight|ryan garcia youtube|vlog|boxing|dixie damelio|addison rae|dixie damelio and addison rae|dixie damelio and addison rae fighting|dixie and addison boxing|ryan garcia addison rae|ryan garcia dixie,2170606,77969,2058,4343,https://i.ytimg.com/vi/kvC4iKq5jHU/default.jpg,False,DE,98
hQKKYv6mNYI,Niederlage in der Hansestadt: Hamburger SV - Hertha BSC 2:0 | Highlights,2020-09-05T17:54:03Z,UCfCZ5o5wnlevqc7O1g1CP6Q,Hertha BSC,17,20.09.09,Hertha|Hertha BSC|Berlin|Bundesliga|Hauptstadt|Spieltag|Soccer|Fußball|Fussball,31770,467,66,191,https://i.ytimg.com/vi/hQKKYv6mNYI/default.jpg,False,DE,99
lqu47KZSun0,NGEE & RA‘IS - NADA (prod. by HEKU),2020-09-03T22:00:11Z,UCxrTEd6BxqxXosNcfbkfJRw,wirsindLL,10,20.09.09,ngee|dealer|wirsindLL|nimo|mero|apache|olexesh|aufderjagd|bonez|187,517139,30227,569,10082,https://i.ytimg.com/vi/lqu47KZSun0/default.jpg,False,DE,100
e93nZzRB9i4,6ix9ine - AVA (Official Lyric Video),2020-09-06T01:24:59Z,UCF6jRAgCbSanHolKt0Vt6Qw,Tekashi 6ix9ine,10,20.09.09,6ix9ine|AVA|6ix9ine AVA|TattleTales|Tattle Tales|6ix9ine TattleTales|6ix9ine Tattle Tales|TattleTales 6ix9ine|Tattle Tales 6ix9ine|tattle tales 6ix9ine|tattletales 6ix9ine|6ix9ine tattle tales|6ix9ine tattletales|6ix9ine new album|6ix9ine -|- 6ix9ine|6ix9ine songs|6ix9ine new song|6ix9ine new music|new album 6ix9ine|ava|69|69 ava|69 AVA|69 tattle tales|69 tattletales|tattle tales 69|tattletales 69,2638487,178595,6072,7601,https://i.ytimg.com/vi/e93nZzRB9i4/default.jpg,False,DE,101
N0RRQyxcJkw,YONII feat. FARID BANG - FUGAZI (Offizielles Musikvideo),2020-09-03T22:00:10Z,UC0udgVvsJRuH4WfuIuRPSiw,YONII OFFICIAL,10,20.09.09,Yonii|Yoni|Joni|Yoniii|Farid Bang|Farid|Banger|Bangermusik|Banger Musik|Neue Musik|New Music|NMF|New Music Friday|Neues Video|Rap Video|Rap|Musikvideo|Musicvideo|Yonii Musikvideo|Single|Rapper|Hip hop|Straßensound|Straßenrap|Video|Kollegah|Kolle|Stream|Spotify|Apple|Fugazi|Yonii Farid Bang Fugazi offizielles Musikvideo,515305,33081,1444,1974,https://i.ytimg.com/vi/N0RRQyxcJkw/default.jpg,False,DE,102
1rv8bSBcZE4,"Kool Savas - Nicht Erinnern (prod. Kool Savas, Danny Autlaw, Tengo)",2020-09-03T22:00:02Z,UC_rbfbjfIzVp5NwQcQr4mPQ,Kool Savas Official | Essah TV,10,20.09.09,kool savas|kks|savas|essahtv|essah|aura|optik records|optik|xavas|hiphop|hip hop|rap|deutschrap|kool savas kks|deine mutter|rhytmus meines lebens|high|das urteil|komm mit mir|mona lisa|nicht erinnern|Kool Savas nicht erinnern,575600,37530,562,2331,https://i.ytimg.com/vi/1rv8bSBcZE4/default.jpg,False,DE,103
v6Ln5kWRqVg,Drawn Dreams #10 - Battle Royale,2020-09-04T14:45:02Z,UCDIDXF4WM1qQzerrxeEfSdA,coldmirror,22,20.09.09,drawn dreams|drawn dreams coldmirror|coldmirror drawn dreams 1|drawing dreams|coldmirror draw dreams|coldmirror drawing dreams|coldmirror traumtagebuch|coldmirror animation|coldmirror animiert|kaddi coldmirror|kathrin fricke coldmirror|yt coldmirror|youtube coldmirror|coldmirror zeichnet|coldmirror 2020,194106,31978,133,1444,https://i.ytimg.com/vi/v6Ln5kWRqVg/default.jpg,False,DE,104
ZCE91WBIA2c,schneller kuppeln mit Fliegl FCon | landwirt-media.com,2020-09-05T05:00:36Z,UCnKZQx8xkFWq-J5yPI6rkWA,landwirt-media,2,20.09.09,landwirt media|landwirt|landtechnik,125589,1184,45,59,https://i.ytimg.com/vi/ZCE91WBIA2c/default.jpg,False,DE,105
AL79RHDCKj4,Ich schenke Anica ein Motorrad!!!,2020-09-04T15:00:03Z,UCYQio_rY_hQWjbfXr9ddyaw,Blackout,2,20.09.09,[none],206562,16494,474,678,https://i.ytimg.com/vi/AL79RHDCKj4/default.jpg,False,DE,106
PwWsxyO0jUE,Fuckst mich nur ab,2020-09-03T22:04:14Z,UC8gxc2fYnL1tHPOXHXyI6sQ,Bonez MC - Topic,10,20.09.09,Bonez MC|Fuckst mich nur ab,511771,22282,741,642,https://i.ytimg.com/vi/PwWsxyO0jUE/default.jpg,False,DE,107
