video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"iab3tVa6EjY","아이스크림왕 만나서 네고해왔습니다 [네고왕] Ep.5","2020-09-11T09:30:02Z","UC0SoPwEH3idvemSDvKaYgGA","달라스튜디오","23","20.13.09","예능|달라스튜디오|DALLA|할인|광희|황광희|제아|제국의아이들|여름|빙수","3391721","97485","1153","13465","https://i.ytimg.com/vi/iab3tVa6EjY/default.jpg","False","False","2:47 광희 민트초코 소신 발언..ㄷㄷ크으~~ 역대급 네고 먹통에도 불구하고 시원하게 네고 해옴ㅋㅋㅋ[계약서]1. 편의점 및 하겐다즈 공식 온라인 스토어에서 전 제품 2+1 행사를 9월 한 달간 시행 (단, 편의점에는 부담이 없게 한다)2. 방송일 기준 1주일간 하겐다즈 공식 온라인 스토어에서 파인트 2+1 구매시 미니컵 랜덤 2개 증정 (최초할인 2+3 :: 2개 구매시 3개 추가 증정)네고왕 황광희하겐다즈 대표 김미조선팩폭 후네고 예능 [네고왕]🔔 매주 금요일 오후 6시 30분🔔 구독+댓글+알림설정ㄱㄱ기획 : 고동완제작 : 강경민 백승엽 배민지 김지인 작가 : 이민정 유희경#네고왕 #NegoKing #달라스튜디오 #황광희 #기업리뷰 #제품리뷰 #서비스리뷰 #아이스크림 #하겐다즈"
"qB135yqEgOU","[선공개] 인성 문제 없는 이근대위의 특수 요원 훈련!(*유행어 자판기 주의*)ㅣ집사부일체(Master in the House)ㅣSBS ENTER.","2020-09-13T00:00:05Z","UCmjNKt6kITwaZTqvWuaSPLg","SBS Entertainment","24","20.13.09","sbs|20200913|이승기|양세형|신성록|차은우|김동현|집사부일체예고|집사부일체137예고|집사부일체미리보기","569921","7886","131","1662","https://i.ytimg.com/vi/qB135yqEgOU/default.jpg","False","False","예　능 | 집사부일체 137회본방송 | 9월 13일 일요일 저녁 6시 25분SBS 일요일 예능 ‘집사부일체 (Master in the House)’☞저녁 6시 25분 본방송#집사부일체 #이승기#차은우▶ Hompage : https://www.sbs.co.kr/tv/enter▶ Subscribe SBS Entertainment : https://bit.ly/2SpOhMC"
"0hQFW_yFtRY","드디어 공개된 손흥민 요리스 싸움 녹취록 영어, 충격적이네요..","2020-09-12T07:15:00Z","UCHpIHu4LzmNuD8bsE6mZLSA","영알남YAN","27","20.13.09","손흥민 다큐|손흥민 스페셜|손흥민 반응|손흥민 요리스|손흥민 수비|손흥민 경기후|손흥민 눈물|손흥민 난투극|손흥민 레전드|토트넘 다큐|토트넘 경기|토트넘 경기후|토트넘 공식|토트넘 다큐멘터리|토트넘 다큐 손흥민|토트넘 반응|축구 하이라이트|축구 다큐|축구 싸움|축구 레전드|축구 스페셜|축구 경기|프리미어리그 하이라이트|프리미어리그 토트넘|프리미어리그 경기|프리미어리그 뉴스|프리미어리그 다큐","1758217","18142","1555","5606","https://i.ytimg.com/vi/0hQFW_yFtRY/default.jpg","False","False","토트넘 다큐가 공개되면서 그날 있었던 전말에 대해 조금 더 자세히 알아보고 추측할 수 있게 되었습니다. 프로축구 세계에서는 이런 일이 흔하다고 하던데.. 자세히 알아보기 위해 지금 영상에서 확인하시죠!항상 감사합니다. 정말 열심히 하겠습니다."
"PFojpAijb3k","[골라봐야지] 별♥하하 부부 등장! ＂어? 그럼 7년동안 3번 하신거네요?＂ 명사수 하하 루머의 진실♨ #1호가될순없어 #JTBC봐야지","2020-09-12T06:17:56Z","UCF3UEVPt5zZTlBVJwDG317g","JTBC Voyage","24","20.13.09","JTBC|JTBC voyage|jtbc봐야지|봐야지|이혼|결혼|부부|부부의 세계|개그맨 부부|개그맨 1호|박미선|장도연|팽현숙|최양락|김지혜|박준형|강재준|이은형|개그|gag|개그우먼|1호가 될 순 없어|number1|실제상황|리얼리티|reality|코미디언|개그판|리얼부부|이혼율|하하|별|haha|야만|드림이|쿤엔터테인먼트|사장님","976643","6677","361","735","https://i.ytimg.com/vi/PFojpAijb3k/default.jpg","False","False","마포구 사랑꾼 하하를둘러싼 오해??! 썰 풉니다 1호가 될 순 없는 이은형♡강재준의 ~리얼 부부 이야기~ [JTBC봐야지] 구독하기☞ http://asq.kr/VgFZ3코미디언 부부들의 달콤♡ 살벌♨한 이야기↗일요일 밤 10시 JTBC 〈1호가 될 순 없어〉------------------------------------------------------* 영상 속 프로그램은?【1호가 될 순 없어】http://tv.jtbc.joins.com/number1------------------------------------------------------"
"ROPepyznAuE","세계 9위 부자까지 올랐던 대한민국 최고의 재벌, 아무도 못하면 현대가 한다! 현대家 스토리 / 14F","2020-09-13T07:00:04Z","UCLKuglhGlMmDteQKoniENIQ","14F 일사에프","25","20.13.09","14f|일사에프|현대자동차BTS|삼성크룹|현대카드|현대백화점|현대중공업|정몽구|정의선|이병철|소비더머니","497013","9459","171","1500","https://i.ytimg.com/vi/ROPepyznAuE/default.jpg","False","False","다른 굴지의 재벌들과 달리 흙수저 출신 재벌이 일으킨 현대그룹.대한민국 기업가 정신의 상징이라는 현대그룹 스토리에는 창업주 정주영 회장 일가의 도전과 꿈이 담겨 있습니다.쌀가게에서 시작해 건설회사, 자동차, 중공업까지..황무지에서 이 모든 것을 일궈낸 현대의 이야기를 전해드립니다.#현대 #정주영 #현대자동차"
"-AazZTLQa3o","[일본반응]방탄소년단(BTS), 일본방송 첫 Dynamite 무대! BTS 무대를 처음 접한 일본인들 반응 BTS 바로 뒤에 쟈니스 나오게 하지마","2020-09-12T21:40:51Z","UCNsf6ZhF7SE40mumCawVwWQ","염탐꾼","24","20.13.09","다이너마이트|Music Day","257607","3722","157","594","https://i.ytimg.com/vi/-AazZTLQa3o/default.jpg","False","False","무대 영상 1080p 쓸려고 했는데 편집 시작하고 나서야 풀리더라구요 아쉽..※영상이 재밌으셨다면 구독과 좋아요 그리고 알림 설정까지 해주세요.-Clova Dubbing으로 제작된 AI 보이스입니다."
"gcAIsQpzGIA","가짜사나이, 에뛰드 드디어 성사?! 알바 취소로 장성규 집까지 찾아가 라운드걸 약속 받아낸 구독자 소통 특집 | 워크맨 ep.67","2020-09-11T09:00:24Z","UCwx6n_4OcLgzAGdty0RWCoA","워크맨-Workman","24","20.13.09","studiolululala|JTBC|스튜디오룰루랄라|룰루랄라|워크맨|직업리뷰|알바리뷰|알바썰|알바|직업|장성규|김민아|와썹맨|workman|job|wassupman|아르바이트|후기|알바후기|직업후기|소통|댓글읽기|가짜사나이|에뛰드|극한직업|이근|피지컬갤러리|리뷰","1520180","26790","442","7395","https://i.ytimg.com/vi/gcAIsQpzGIA/default.jpg","False","False","JOB것들아~~~♥ 인력소장이다,,,,~~~오늘은,,, 알바가 다 취소돼서,,, 성규네 집으로 찾아갔다~~~ㅜㅜ그동안,,~~ 우리 잡것들이 요청해준~~~ 알바 다 하기로 했으니까~~앞으로도 워크맨,,~~ 많이 기대해줘라~~!!!그리고,,, 건강이 최고인거,,~~ 알지~~? 아프면 호온난다,,~^^ㅋ 세상의 모든 job것들을 리뷰한다 [워크맨]▶ 매주 금 오후 6시 공개#워크맨 #workman #장성규 #소통 #극한직업#직업리뷰 #알바리뷰 #스튜디오룰루랄라"
"a-5DdUXaxWY","[현지반응] '손흥민 NO자막' 토트넘 다큐, 왜 요리스 말만 번역해? (자막 차별 논란)","2020-09-12T08:57:03Z","UCmKTwXS5wC4Ww4X6PyXjMYg","서형욱의 뽈리TV","17","20.13.09","손흥민|요리스|토트넘 다큐|아마존|아마존 다큐|아마존 자막|아마존 번역|오리에|에버턴전","1143448","7063","319","2480","https://i.ytimg.com/vi/a-5DdUXaxWY/default.jpg","False","False","#아마존 프라임이 미리 공개한 토트넘 다큐 9화, 에버턴전 라커룸 말싸움 장면에 손흥민의 말은 단 한 마디도 번역이 되어 있지 않습니다. 요리스 말은, 심지어 불어로 얘기한 오리에의 말도 번역해놨는데 말이죠. 이전엔 #무리뉴 감독의 포르투갈어도 번역 자막 넣었고요.단순 실수라고 보기엔 이상한, 쉽게 납득이 가지 않는 일이예요.많은 사람들이 당혹감에 분노하고 있습니다.  #respect"
"aty6bAzcL4g","(ENG)✨방송 최초✨ JYP 형과 부부동반 모임 썰, 남친짤 그리고 깡... 형 잠깐 내려봐🚘","2020-09-10T11:00:01Z","UCZf4ZESHAIuRtZ-eoMSL97A","시즌비시즌 Season B Season","24","20.13.09","시즌비시즌|시즌 비시즌|비 유튜브|비 채널|가수 비|김태희 비|김태희|jyp|박진영|비 박진영|비 jyp|rain jyp|박진영 남친짤|박진영 선미|박진영 we disco|박진영 when we disco|비 히든싱어|싹쓰리|싹스리|놀면뭐하니|스튜디오 룰루랄라|룰루랄라 비|비 깡|gang|차에 타봐|깡|깡 댓글|태양을 피하고 싶어서","3245328","68449","1109","6318","https://i.ytimg.com/vi/aty6bAzcL4g/default.jpg","False","False","드디어 나왔다 비시즌! 방송 최초 박진영 & 비 단독 동반 출연🎉남친짤 코인 탑승하려다가 역으로 탈탈 털리고 옴 ㅋㅋㅋㄱㄴrㄴi...? 그 때 그시절ㅋㅋㅋㅋㅋ 제수 씨는 왜... ,  뜻밖에 판도라의 상자 열려 버림  #비시즌_ep1 #차에타봐 #JYP #시즌비시즌 #비 #가수비 #정지훈 #비박진영 #김태희 #비jyp #깡 #seasonbseason"
"uyjcUBJ7MEA","[EN] 가짜사나이 이근대위 쇼터뷰 놀러왔어? 머리부터 발끝까지 이근 파헤치기 《제시의 쇼!터뷰》 EP.14 by 모비딕 Mobidic","2020-09-10T09:30:12Z","UCbCr1dWFedL5lMcRWthb_bA","모비딕 Mobidic","24","20.13.09","모비딕|SBS|mobidic|제시|JESSI|스브스|토크|토크쇼|프롤로그|제시의쇼터뷰|쇼터뷰|숏터뷰|양세형의숏터뷰|mc|엠씨|양세형|제시발쇼|제시쇼|래퍼|언프리티랩스타|언니쓰|쎈언니|제시카|호현주|맞지|피네이션|PNATION|PSY|후댓비|제시 런닝맨|제시 인생은즐거워|제시 유재석|제시 조정식|굿걸|엠넷 제시|디스전|여자래퍼|웹예능|악인전|제시 송가인|제시 김요한|식스센스|놀면뭐하니|제시 악인전|젝시믹스|인생은즐거워|이효리|제시 이효리|Jessi show|showterview|who dat b|힙합|교포|이근대위|피지컬갤러리|유튜버|헬스|운동|유연성테스트|PT|조정식|아나운서|유연성|푸시업|팔굽혀펴기|가짜사나이|진짜사나이|호신술|요리|로망|셰프|레시피|스테이크|이근|이상형|배수지|신세경|군인|군사학교|뉴욕|버지니아|군사대학교|이민|군대|장교|입대|조국|국군|구독자|선물|이벤트|집사부일체|두니아|이근대위 유행어|ken rhee|UDT|이던","2118485","0","0","11566","https://i.ytimg.com/vi/uyjcUBJ7MEA/default.jpg","False","True","2020 예능 신드롬 이근 대위!쇼터뷰에 놀러왔어?알고보면 쏘 젠틀한 이근대위의머리부터 발끝까지 알아보는 파격 인터뷰🎤[이벤트] 이번 화를 시청하고, 시청 소감을 댓글로 남겨주세요.베스트 댓글로 선정되신 분께 이근 대위의 친필 사인이 담긴 선글라스를 드립니다!(※리얼 아나운서 조정식 제외※)✔️ 참 여 방 법 : 14화를 시청하고, 영상에 이메일 주소와 함께 댓글 작성✔️ 기        간 : 9/10 (금) ~ 9/15 (화요일 자정까지)✔️ 발        표 : 9/17 (금) 모비딕 채널 커뮤니티에 공지 ✔️ 상        품 : 이근 친필 사인 선글라스 (1명)※ 국내 거주자 한정 ※거침없는 제시의 기상천외한 솔직담백 인터뷰 《제시의 쇼!터뷰》 14화매주 (목) 오후 6시 30분 💗모비딕 채널로 놀러오show!💗#제시의쇼터뷰 #제시 #이근 #모비딕영문 번역: 류지연(KAEL RESET)모비딕 좋아요❤️, 구독🚨, 알림🔔▶️모비딕 구독하기 https://goo.gl/v2b6rR※ 본 촬영은 코로나19 바이러스 확산 방지를 위한 체온 측정, 손 소독 등 개인위생과 공공보건에 유의하여 진행되었습니다. ※."
